"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Kavitha R.; Kavitha G.; Amudha S.","Kavitha, R. (56990849900); Kavitha, G. (56830309100); Amudha, S. (57217088432)","56990849900; 56830309100; 57217088432","The impact of mobile communication on E-voting technology","2019","International Journal of Engineering and Advanced Technology","8","6 Special Issue 2","","580","583","3","0","10.35940/ijeat.F1172.0886S219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073721517&doi=10.35940%2fijeat.F1172.0886S219&partnerID=40&md5=b722c1b62b87bd8a770cc0b0149f6b38","Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Kavitha R., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Kavitha G., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Amudha S., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073721517"
"Pothumani S.; Kavitha R.","Pothumani, S. (55315128900); Kavitha, R. (56990849900)","55315128900; 56990849900","A novel method for bridge safety monitoring system","2019","International Journal of Engineering and Advanced Technology","8","5","","1270","1272","2","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070666100&partnerID=40&md5=0eaf1409f7aafe8a1aae10d85b560a41","Bharath Institute of Higher Education & Research, BIST, Chennai, India","Pothumani S., Bharath Institute of Higher Education & Research, BIST, Chennai, India; Kavitha R., Bharath Institute of Higher Education & Research, BIST, Chennai, India","Article","Final","","Scopus","2-s2.0-85070666100"
"Kavitha R.; Kavitha G.","Kavitha, R. (56990849900); Kavitha, G. (56830309100)","56990849900; 56830309100","Disguise and request diversion using monto corlo method","2016","Journal of Chemical and Pharmaceutical Sciences","9","2","","E437","E438","1","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046978810&partnerID=40&md5=66d8cad07b3ce75bc9529628ebe3b3e4","Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Kavitha R., Department of CSE, Bharath University, Chennai, Tamil Nadu, India; Kavitha G., Department of CSE, Bharath University, Chennai, Tamil Nadu, India","Article","Final","","Scopus","2-s2.0-85046978810"
"Kavitha R.; Nedunchelian R.","Kavitha, R. (56990849900); Nedunchelian, R. (24829845300)","56990849900; 24829845300","Domain-specific Search engine optimization using healthcare ontology and a neural network backpropagation approach","2017","Research Journal of Biotechnology","2017","Special Issue  2","","157","166","9","222","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042154748&partnerID=40&md5=740edf7f80747928f78c74074352000a","Saveetha School of Engineering, Saveetha University, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, Bharath University, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, Sri Venkateswara College of Engineering, Chennai, Tamil Nadu, India","Kavitha R., Saveetha School of Engineering, Saveetha University, Chennai, Tamil Nadu, India, Department of Computer Science and Engineering, Bharath University, Chennai, Tamil Nadu, India; Nedunchelian R., Department of Computer Science and Engineering, Sri Venkateswara College of Engineering, Chennai, Tamil Nadu, India","Article","Final","","Scopus","2-s2.0-85042154748"
"Malathi K.; Kavitha R.; Liza M.K.","Malathi, K. (56294527300); Kavitha, R. (56990849900); Liza, M.K. (57221600484)","56294527300; 56990849900; 57221600484","Pixel based method for Text to Image Encryption","2020","Proceedings of the 4th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2020","","","9297478","1001","1004","3","5","10.1109/ICECA49313.2020.9297478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099570423&doi=10.1109%2fICECA49313.2020.9297478&partnerID=40&md5=41f55e692b8f190ffe27bac533ec8b8f","Saveetha Institute of Medical and Technical Sciences, Saveetha School of Engineering, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India; Srmist, Department of Information Technology, Ramapuram Chennai, TN, India","Malathi K., Saveetha Institute of Medical and Technical Sciences, Saveetha School of Engineering, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India; Kavitha R., Srmist, Department of Information Technology, Ramapuram Chennai, TN, India; Liza M.K., Srmist, Department of Information Technology, Ramapuram Chennai, TN, India","Conference paper","Final","","Scopus","2-s2.0-85099570423"
"Rajakani M.; Kavitha R.J.; Ramachandran A.","Rajakani, M. (56880390200); Kavitha, R.J. (56990849900); Ramachandran, A. (57218933389)","56880390200; 56990849900; 57218933389","Adaptive Window Based 3-D Feature Selection for Multispectral Image Classification Using Firefly Algorithm","2022","Computer Systems Science and Engineering","44","1","","265","280","15","2","10.32604/csse.2023.024994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131380770&doi=10.32604%2fcsse.2023.024994&partnerID=40&md5=76602a1b524ee9a4a314dd640df20d2b","Full Time Research Scholar, Department of Electronics and Communication Engineering, University College of Engineering, Panruti, 607106, India; Department of Electronics and Communication Engineering, University College of Engineering, Panruti, 607106, India; Department of Computer Science and Engineering, University College of Engineering, Panruti, 607106, India","Rajakani M., Full Time Research Scholar, Department of Electronics and Communication Engineering, University College of Engineering, Panruti, 607106, India; Kavitha R.J., Department of Electronics and Communication Engineering, University College of Engineering, Panruti, 607106, India; Ramachandran A., Department of Computer Science and Engineering, University College of Engineering, Panruti, 607106, India","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85131380770"
"Pothumani S.; Kavitha R.; Sri Vidhya S.R.","Pothumani, S. (55315128900); Kavitha, R. (56990849900); Sri Vidhya, S.R. (57213197175)","55315128900; 56990849900; 57213197175","The effective method on fuzzy with steganography","2019","International Journal of Engineering and Advanced Technology","8","6 Special Issue 2","","611","614","3","0","10.35940/ijeat.F1180.0886S219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073757758&doi=10.35940%2fijeat.F1180.0886S219&partnerID=40&md5=0c20840176366cfabde083221a0de587","Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Pothumani S., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Kavitha R., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India; Sri Vidhya S.R., Department of Computer science and Engineering, Bharath Institute of Higher Education and Research, Chennai, Tamilnadu, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073757758"
"Sri Vidhya S.R.; Kavitha R.; Sadagopan S.","Sri Vidhya, S.R. (57213197175); Kavitha, R. (56990849900); Sadagopan, S. (57210976776)","57213197175; 56990849900; 57210976776","Certifiable, mobile configurations for the look aside buffer","2019","International Journal of Recent Technology and Engineering","8","2 Special Issue 8","","432","435","3","0","10.35940/ijrte.B1404.0882S819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073479205&doi=10.35940%2fijrte.B1404.0882S819&partnerID=40&md5=eb8a051341366d7bd81e63cefb58c9cd","Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Sri Vidhya S.R., Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Kavitha R., Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Sadagopan S., Department of Computer Science and Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073479205"
"Kavitha R.; Kavitha G.; Srividhya S.R.","Kavitha, R. (56990849900); Kavitha, G. (56830309100); Srividhya, S.R. (57213197175)","56990849900; 56830309100; 57213197175","Protected entree design for big data knowledge in cloud","2019","International Journal of Innovative Technology and Exploring Engineering","8","9 Special Issue 3","","586","588","2","0","10.35940/ijitee.I3117.0789S319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072110203&doi=10.35940%2fijitee.I3117.0789S319&partnerID=40&md5=9c50ba5f039e763a1c9cb715631dbe2f","Department of Computer Science & Engineering, Bharath Institute of Higher education and Research, Chennai, India","Kavitha R., Department of Computer Science & Engineering, Bharath Institute of Higher education and Research, Chennai, India; Kavitha G., Department of Computer Science & Engineering, Bharath Institute of Higher education and Research, Chennai, India; Srividhya S.R., Department of Computer Science & Engineering, Bharath Institute of Higher education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85072110203"
"Kavitha R.; Sangeetha S.; Varghese A.G.","Kavitha, R. (56990849900); Sangeetha, S. (58494620000); Varghese, Allin Geo (57210979621)","56990849900; 58494620000; 57210979621","Human activity patterns in big data for healthcare applications","2019","International Journal of Innovative Technology and Exploring Engineering","8","9 Special Issue 3","","1101","1103","2","87","10.35940/ijitee.I3237.0789S319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072132122&doi=10.35940%2fijitee.I3237.0789S319&partnerID=40&md5=b8baeb13a380e496741b5d992ea02549","Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Kavitha R., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Sangeetha S., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India; Varghese A.G., Department of Computer Science & Engineering, Bharath Institute of Higher Education and Research, Chennai, India","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85072132122"
